epoch	time	lr	loss	val_loss
1	343.4433680000002	0.001	3.4675222228057367e+25	2.3012708539240572e+24
2	344.02402190000066	0.001	3.565047606282415e+25	2.391082749898919e+24
3	344.54232189999675	0.001	3.57241022667029e+25	2.4466848578758315e+24
4	345.7960920999976	0.001	3.5213657074193632e+25	2.448285240214759e+24
5	346.1877160999975	0.001	3.5003273142257004e+25	2.456761699765353e+24
6	345.57849500000157	0.001	3.5600716358177655e+25	2.4283626999881707e+24
7	346.1925654999977	0.001	3.608763826093073e+25	2.470147808821541e+24
8	345.5085247999996	0.001	3.5411493198279627e+25	2.4935945639697397e+24
9	345.8249734000019	0.001	3.544206180254681e+25	2.52862434344876e+24
10	345.3641174000004	0.001	3.573689769204229e+25	2.5596967586079945e+24
11	345.4040223999982	0.001	3.425640937439863e+25	2.5862335383622563e+24
12	347.84118650000164	0.001	3.216949159236108e+25	2.6000545360052464e+24
13	344.00672329999725	0.001	3.521956142081143e+25	2.634141609103352e+24
14	343.06636819999767	0.001	3.4909057094123143e+25	2.6545476657845866e+24
15	344.7600951000022	0.001	3.5190591669239417e+25	2.667640458034909e+24
16	344.8589878999992	0.001	3.4890272730216243e+25	2.6970991966857854e+24
17	346.26868319999994	0.001	3.4098727023862924e+25	2.7151448210820456e+24
18	350.83602189999874	0.001	3.5924674973048436e+25	2.7316446934672974e+24
19	342.71758620000037	0.001	3.631999594360035e+25	2.750082749481423e+24
20	341.99592009999833	0.001	3.4819345638483386e+25	2.76659504615337e+24
21	335.45585460000075	0.001	3.4376405611325256e+25	2.788060259479093e+24
22	336.9520143000009	0.001	3.342640662063747e+25	2.793454594993211e+24
23	337.3300648999975	0.001	3.6898322138055238e+25	2.802735623776934e+24
24	337.45659039999737	0.001	3.7071511845614395e+25	2.827425438374935e+24
25	340.30610570000135	0.001	3.381133088444613e+25	2.8380821498841543e+24
26	342.93602029999965	0.001	3.4587031443920664e+25	2.7752527841515136e+24
27	339.94478700000036	0.001	3.473374693425531e+25	2.7912704956686114e+24
28	341.6702624000027	0.001	3.4516841283533937e+25	2.8055426869119606e+24
29	340.3215282000019	0.001	3.3385516523998577e+25	2.825384788366635e+24
30	342.4588915000022	0.001	3.469257864118301e+25	2.8544778338144306e+24
