epoch	time	lr	loss	val_loss
1	323.98429450000003	0.01	0.3196468816340293	0.21438040512255466
2	306.78306109999994	0.01	0.15481168621095395	0.15993950794823095
3	315.2802254999997	0.01	0.12207026592056286	0.11281346331404558
4	315.70456639999975	0.01	0.09930713301208845	0.12649315550893525
5	314.72800259999985	0.01	0.04799332211199199	0.1689972916470121
6	314.2984716000001	0.01	0.10070283266562126	0.12223929442152172
7	315.3404651999999	0.01	0.033264480765443694	0.11491979420026037
8	314.7810622999996	0.01	0.015583584857260833	0.1344868223753828
9	314.2259054999995	0.01	0.0076163940498444075	0.13444406166921224
10	315.52197739999974	0.01	0.003891202844709965	0.14705993349429686
11	314.19124400000146	0.01	0.0034593641088552034	0.17904571263371824
12	313.73726309999984	0.01	0.002060133941242689	0.1731267603160223
13	315.39784249999866	0.01	0.002110337062949641	0.16670976577946708
14	313.88129279999885	0.01	0.001136897879184356	0.17277548770563772
15	313.8964317000009	0.01	0.000906416423578602	0.17737313786930367
16	315.55194759999904	0.01	0.0012828431745279642	0.18720297809638048
17	313.9091623000004	0.01	0.000694544971517305	0.18536646650474098
18	316.1600380999989	0.01	0.0005120779402999134	0.1881660884289721
19	313.4876411999994	0.01	0.0004873642352783985	0.19220999812706063
20	312.03621550000025	0.01	0.0005049814398197	0.192414409674212
21	317.11183300000084	0.01	0.0003460382685162687	0.20000377927084836
22	312.8918477999996	0.01	0.000437611398339328	0.19931587140964938
23	317.42676559999927	0.01	0.0003358404031679155	0.20294124966647584
24	313.0036674999992	0.01	0.0002578918302923648	0.2040322261667991
25	312.12064570000075	0.01	0.00019933312141303097	0.2059812575598571
26	317.2139783999992	0.01	0.00026989630184891386	0.20771470647665602
27	313.3902147000008	0.01	0.0002483717914210967	0.20910234530434618
28	316.8062312000002	0.01	0.00019545787958781335	0.21159757080899827
29	313.8639332999992	0.01	0.00018459295525325394	0.2159574535539283
30	312.00921130000097	0.01	0.00015658371836488124	0.21548343730408243
