epoch	time	lr	loss	val_loss
1	13.083931900095195	0.001	0.6792031772717915	0.6896959071639699
2	13.302748700021766	0.001	0.6792132217531784	0.6900827745106158
3	13.303478299989365	0.001	0.6791919048052578	0.6899991794535921
4	13.113165199989453	0.001	0.6791486844024375	0.6902858851511053
5	13.129700999939814	0.001	0.6791189884280913	0.6902085378855527
6	13.175608100020327	0.001	0.6791431114107379	0.6901959221787736
7	13.422576800105162	0.001	0.6791248953693354	0.6902634236636044
8	13.50558140000794	0.001	0.6791419491116474	0.6903018273457915
9	13.169316000072286	0.001	0.6791360447937572	0.6904137035542285
10	13.052893600077368	0.001	0.6791318977822846	0.6903021530440205
11	13.255786300054751	0.001	0.679125550356072	0.6902824208846166
12	13.21963720000349	0.001	0.67913535641888	0.6903150808501037
13	13.267885599983856	0.001	0.679148038631509	0.6901639110649165
14	13.10659380001016	0.001	0.6791488941515061	0.6903351403777801
15	13.354269300005399	0.001	0.6791650073873755	0.6903305295469604
16	13.191455699969083	0.001	0.6791268127684799	0.690306499093433
17	13.504873499972746	0.001	0.6791314476556388	0.6903183959260474
18	13.22169049992226	0.001	0.6791831322587126	0.6901700806029245
19	13.252722200006247	0.001	0.6791424838159043	0.6902790757876544
20	13.60585719998926	0.001	0.6791289163576122	0.6904404012261429
21	13.18319240002893	0.001	0.6791659825766008	0.6903568512205286
22	13.097399999969639	0.001	0.6791472851838273	0.6902985934260052
23	13.266067999997176	0.001	0.6791288408424964	0.6902181537967272
24	13.208047399995849	0.001	0.6791212969624884	0.6903013216407399
25	13.232022000011057	0.001	0.6791425613922267	0.6903320260251499
26	13.239215199952014	0.001	0.67918666196435	0.6904675877038601
27	13.191769099910744	0.001	0.6791486880478773	0.6903085446978029
28	13.19270679994952	0.001	0.6791268181003616	0.6902432269140273
29	13.202799100079574	0.001	0.6791476375649881	0.6904283650641921
30	13.359055700013414	0.001	0.6791375684853995	0.6902250329043723
