epoch	time	lr	loss	val_loss
1	12.648458699928597	0.005	0.024315561728046796	0.19909412631040577
2	12.34413179999683	0.005	0.015159296277494183	0.19518172220041785
3	12.398607600014657	0.005	0.010520812839207886	0.2013386252961849
4	12.816215500002727	0.005	0.008218906783122462	0.20192917068057095
5	12.823901399970055	0.005	0.0061137414910737665	0.20340714180684233
6	13.034113299916498	0.005	0.006139563376211198	0.20866530785726023
7	12.516676699975505	0.005	0.004803050505053268	0.2093631579845726
8	12.558196800062433	0.005	0.005240117884569762	0.21041398993963556
9	12.355417000013404	0.005	0.004184247607806557	0.2158638276482837
10	13.26804859994445	0.005	0.0028722251156703274	0.2281202277276737
11	13.13115759997163	0.005	0.0028404256202310863	0.22182071151297597
12	12.477680900017731	0.005	0.0038656346309584666	0.21850730583141295
13	12.961837299983017	0.005	0.0035880727794382825	0.21771953790246684
14	14.393824700033292	0.005	0.0027571418392159223	0.21869355923259473
15	12.99001649999991	0.005	0.0034520978673123555	0.22881855699839473
16	13.042459099902771	0.005	0.003208191453437442	0.2254774397098676
17	12.816845000023022	0.005	0.0029992996402594275	0.22798634493963332
18	12.563350699958391	0.005	0.002179032526074537	0.2338589047733508
19	12.979025800013915	0.005	0.002289736769397677	0.2315633978105689
20	12.991888600052334	0.005	0.003106754219144046	0.23000632177757532
21	12.667281400063075	0.005	0.0021127015192548217	0.2342728648963493
22	13.131658799946308	0.005	0.0024677927179073593	0.2364574996450092
23	13.117796499980614	0.005	0.0015170262930126902	0.23675257717075945
24	12.944439799990505	0.005	0.0016984211011579731	0.2540467701171381
25	12.543181400047615	0.005	0.001734071261894924	0.24097225346352116
26	12.963358699926175	0.005	0.00251309276974696	0.24237145740958832
27	12.653733400045894	0.005	0.002403897552243422	0.24133887604684173
28	12.910615799948573	0.005	0.0032885628855550595	0.24148474318572408
29	13.004666000022553	0.005	0.0017571275282630425	0.2417391082340276
30	12.710388600011356	0.005	0.003114060781311609	0.23909457915619742
