epoch	time	lr	loss	val_loss
1	21.15450329997111	0.01	0.36415642234820167	0.1724453925629152
2	21.067911999998614	0.01	0.12977572126145293	0.2608752372743608
3	21.277278400026262	0.01	0.10022494309108303	0.19837365299960308
4	21.089678599964827	0.01	0.09010154958766473	0.15986039854829673
5	21.148888100055046	0.01	0.06063975497364794	0.16682131014878626
6	21.1733843999682	0.01	0.05383617733718327	0.1755084216674222
7	21.3925670000026	0.01	0.033997508442488764	0.24285168990522643
8	21.01117329997942	0.01	0.039136278008385775	0.2621682105539957
9	21.371110400068574	0.01	0.025881942150255684	0.21438409651494805
10	21.084457900025882	0.01	0.02229503005430013	0.5596808496517209
11	21.057798599940725	0.01	0.029953605339418703	0.2654430133410499
12	21.028848699992523	0.01	0.040191951013913055	0.2133326827088064
13	21.315382899949327	0.01	0.005350805122647038	0.31482831518438514
14	21.13070229999721	0.01	0.038984059407390394	0.20005209923903888
15	21.07881780003663	0.01	0.008081306528216736	0.28550919331734465
16	21.079663500073366	0.01	0.03556418382166372	0.15597470602725172
17	21.11467089992948	0.01	0.014624100990293196	0.19996539336828648
18	21.227450000005774	0.01	0.02446582933867078	0.2408750711320797
19	21.16281040001195	0.01	0.01699339920806875	0.251364805763606
20	21.379228200064972	0.01	0.008847574552012197	0.5679043007342317
21	21.107958700042218	0.01	0.031951155213553434	0.19039284652117652
22	21.250279700034298	0.01	0.014453571861773243	0.22184158218471586
23	21.25977010000497	0.01	0.013272191397513036	0.24504026120467692
24	21.23145730001852	0.01	0.001059849477054666	0.24472028808326543
25	21.454853699891828	0.01	0.001590523731701786	0.30407718995000776
26	21.160580500029027	0.01	0.036444525671649054	0.22196232521032952
27	21.374962600064464	0.01	0.0020282957695914217	0.359269267483661
28	21.693660799995996	0.01	0.04765384459961765	0.20722758903194857
29	21.14022840000689	0.01	0.001409954726280293	0.22495212286134175
30	21.251193600008264	0.01	0.00045762543336530693	0.2549680495675681
