epoch	time	lr	loss	val_loss
1	284.64306889999716	0.005	0.012789198837292794	0.13093170693630055
2	286.33062930000597	0.005	0.009109826596141304	0.12520912211087643
3	284.97150220000185	0.005	0.007955783523489284	0.1386911604824346
4	285.3859659999871	0.005	0.007200151229979671	0.13351807175197944
5	285.019324199995	0.005	0.004297979052342788	0.13815355505682453
6	285.32738880001125	0.005	0.0027571126610912633	0.1465200996442665
7	285.3908606999903	0.005	0.005726458188721276	0.15711511612892787
8	285.22468719999597	0.005	0.005762761528290985	0.1536763185576807
9	285.4301831000048	0.005	0.0037090214047603314	0.15452415623849355
10	285.1774938000017	0.005	0.0021286588140890304	0.15979779293491014
11	285.36317379999673	0.005	0.003745119656731858	0.16116751066400975
12	285.32475280000654	0.005	0.0014905172997923789	0.16534838721086534
13	285.54088230000343	0.005	0.0017992132861714433	0.16798619376253174
14	285.10887929999444	0.005	0.0011706723237190466	0.17422309968175692
15	285.3887943000009	0.005	0.0008901438300806452	0.17755874637029742
16	285.426138099996	0.005	0.0010505623241903	0.18148577922558767
17	285.390925899992	0.005	0.0008119184929028709	0.1837691866095023
18	285.1729262000008	0.005	0.0008594747829207339	0.18700258740987516
19	285.1586537999974	0.005	0.001003321138519874	0.1881509279612305
20	284.9700617999915	0.005	0.0006389916359366294	0.18796712538355426
21	285.05068890000985	0.005	0.0005315415439161063	0.19222157266117718
22	285.7045228000061	0.005	0.0007177815193319496	0.19326761172583615
23	285.3214414999966	0.005	0.0005828961722101488	0.19608283555352585
24	285.1633082000044	0.005	0.0004942463681791974	0.19655158751463397
25	285.6621981000062	0.005	0.0004783132480229585	0.19792816707935232
26	288.05989629999385	0.005	0.0005788134210802233	0.1999856371922124
27	293.9016993999976	0.005	0.00046221172993463175	0.20211918479585902
28	295.96427219999896	0.005	0.0004169955194724	0.20724013992513793
29	286.03043149999576	0.005	0.0007415288912739113	0.20292850084269817
30	273.56879180000396	0.005	0.0003391091133965904	0.20399392141728817
