epoch	time	lr	loss	val_loss
1	351.8732823999999	0.005	2.9072523576829648e+25	2.6434604053920166e+24
2	351.86728500000027	0.005	2.8636329117771315e+25	2.3394573089281738e+24
3	349.7152016	0.005	2.829934336439224e+25	3.299074802753217e+24
4	351.67947920000006	0.005	2.7983729574283786e+25	3.4473765455030743e+24
5	352.22784890000185	0.005	2.7776706063546286e+25	3.934564887376039e+24
6	350.0021631000018	0.005	2.7749741170310224e+25	4.0181233740280136e+24
7	350.9415833000021	0.005	2.8615956720640676e+25	3.579319976880838e+24
8	351.99467399999776	0.005	2.7457969668411926e+25	2.9875521186139754e+24
9	350.4806940999988	0.005	2.790803536070306e+25	2.8112230852098154e+24
10	350.3303965999985	0.005	2.7507963117267096e+25	3.0559720793656993e+24
11	352.10843119999845	0.005	2.6901142445090327e+25	3.1548596971851035e+24
12	350.83300450000024	0.005	2.569027700193609e+25	3.1283962548523535e+24
13	351.29464010000083	0.005	2.683746544043489e+25	3.450204895287805e+24
14	352.1979846000031	0.005	2.6665534261199356e+25	2.8478710487626326e+24
15	351.18750349999755	0.005	2.699025536345854e+25	3.098472171239548e+24
16	349.7196600000025	0.005	2.6549914889934548e+25	2.0182564821339145e+24
17	352.01217610000094	0.005	2.5649549518631392e+25	2.195076366580912e+24
18	351.81074850000005	0.005	2.720311823479021e+25	1.9669168142744164e+24
19	349.61829470000157	0.005	2.6765137604759484e+25	2.2686013035843193e+24
20	351.95258789999934	0.005	2.6355268668672093e+25	2.41914786958833e+24
21	351.9670318999997	0.005	2.544778311248471e+25	2.622722950980687e+24
22	349.38257650000014	0.005	2.447711678566429e+25	2.5518041265089505e+24
23	351.6357128999989	0.005	2.745234799415944e+25	2.4749277477357224e+24
24	352.5419096000005	0.005	2.722311969598413e+25	3.210243696583163e+24
25	349.71306689999983	0.005	2.5328701977594466e+25	3.355641618279814e+24
26	351.34073210000133	0.005	2.570138188156991e+25	3.716749999605492e+24
27	352.32460699999865	0.005	2.5312534984720234e+25	3.67361977258025e+24
28	350.1494046000007	0.005	2.5129601685128425e+25	4.5224221755919827e+24
29	350.8877405000021	0.005	2.4399013193494133e+25	3.8366868399047865e+24
30	352.45515899999737	0.005	2.5266528289661956e+25	3.925361553695625e+24
