epoch	time	lr	loss	val_loss
1	362.9989658999839	0.01	4.3748093557654214e+25	6.532307654344001e+24
2	355.4589399000397	0.01	3.893655438308727e+25	7.80203252453979e+24
3	362.69361199997365	0.01	3.747019644801623e+25	6.489459419689665e+24
4	379.7687468000222	0.01	3.743436142286711e+25	5.636085170673526e+24
5	381.013111200009	0.01	3.6770065927303223e+25	4.4996169125257555e+24
6	381.622598499991	0.01	3.684157505888724e+25	4.1840052330611184e+24
7	376.0898782000295	0.01	3.7592217338338055e+25	4.6730183705788834e+24
8	369.7611642999691	0.01	3.681376420925005e+25	4.7710010386583944e+24
9	351.9565699999803	0.01	3.7815264380160773e+25	8.55929453025869e+24
10	353.2317932000151	0.01	3.705742820463451e+25	8.402519490320401e+24
11	356.19411550002405	0.01	3.536321928028179e+25	7.373881055508193e+24
12	356.0044404999935	0.01	3.3982928996883438e+25	7.703140722476747e+24
13	357.09738809999544	0.01	3.6757853104601486e+25	8.048759073459469e+24
14	356.2773945000372	0.01	3.519492571699792e+25	8.185274093376346e+24
15	357.05110559996683	0.01	3.5536642577843483e+25	7.928216676714703e+24
16	360.47499419999076	0.01	3.5953291645951794e+25	3.943357746966939e+24
17	359.67252839996945	0.01	3.49765526479509e+25	7.894936700682041e+24
18	364.0791534000309	0.01	3.639201468428242e+25	6.677378814512501e+24
19	350.6667667000438	0.01	3.6797412556506914e+25	1.1276298237582293e+25
20	349.7852998999879	0.01	3.643113537821853e+25	1.0993458414762246e+25
21	347.823877799965	0.01	3.430297544232432e+25	1.1163206561258048e+25
22	367.46133760001976	0.01	3.4242677223237013e+25	8.979607849558338e+24
23	348.7287438000203	0.01	3.7005129160554343e+25	5.850009609911461e+24
24	349.2696911999956	0.01	3.670530153776178e+25	4.6523124545122114e+24
25	353.61080659995787	0.01	3.4346425174296575e+25	4.691044746512222e+24
26	351.32749570003944	0.01	3.5881587467331814e+25	3.395316530133942e+24
27	337.05709139996907	0.01	3.5325249604656622e+25	3.77376080258848e+24
28	332.75566700001946	0.01	3.5706959479816403e+25	3.908409162984746e+24
29	333.4576983000152	0.01	3.3821621739222142e+25	3.99654734698658e+24
30	333.45781530003296	0.01	3.5286077488905705e+25	4.1256785913046584e+24
