epoch	time	lr	loss	val_loss
1	312.772673200001	0.001	3.0729098791957954e+25	4.920185087469835e+24
2	313.535405200033	0.001	3.0967488149382317e+25	4.95756756008479e+24
3	313.0898507999955	0.001	3.0119234816907382e+25	4.963429212218128e+24
4	313.28667870000936	0.001	3.113426805688325e+25	4.980488346424169e+24
5	313.03310749999946	0.001	3.0981123592209666e+25	4.95850217717156e+24
6	313.21037540002726	0.001	3.0804922064211136e+25	4.986613452273651e+24
7	312.935200500011	0.001	3.1268342498694025e+25	5.007192300085022e+24
8	312.9331095999805	0.001	3.1459099497585575e+25	5.008477723727805e+24
9	313.1105332999723	0.001	3.210556107216174e+25	5.016433721996372e+24
10	311.0020902999677	0.001	3.120021722368755e+25	5.0221080318842e+24
11	316.006058799976	0.001	2.9951843401685607e+25	5.041039555030812e+24
12	320.91871250001714	0.001	2.8689124975794387e+25	5.028148536830533e+24
13	319.5107295999769	0.001	3.1339683096812193e+25	5.055228911863651e+24
14	319.51890339999227	0.001	3.047400979324223e+25	5.050814057196179e+24
15	315.57002800004557	0.001	3.039719299722534e+25	5.042290815009764e+24
16	318.3815050999983	0.001	3.06104750957263e+25	5.057379166039175e+24
17	318.98685350001324	0.001	3.001675508213889e+25	5.063396403545129e+24
18	322.19415019999724	0.001	3.13027548648365e+25	5.057343085326077e+24
19	319.42617799999425	0.001	3.172095473263611e+25	5.06555250077914e+24
20	316.6431631000014	0.001	3.129882729126818e+25	5.057751618138822e+24
21	320.2145053999848	0.001	2.978103788241893e+25	5.068526908855393e+24
22	322.6724186000065	0.001	2.9181930950353587e+25	5.009200050393718e+24
23	321.87716069997987	0.001	3.1973985316039213e+25	5.005741518733123e+24
24	318.77974639995955	0.001	3.174742116245083e+25	5.008006991222907e+24
25	318.9377650000388	0.001	2.988477013476681e+25	5.035845577315346e+24
26	319.54959229996894	0.001	3.14041854476258e+25	5.06193472827716e+24
27	312.29215180000756	0.001	3.079295129966932e+25	5.06534886303802e+24
28	309.1571723000379	0.001	3.123534803818705e+25	5.072466920802809e+24
29	307.90631900000153	0.001	2.961047302752596e+25	5.068923012382116e+24
30	307.94630020001205	0.001	3.0738747530413454e+25	5.082504846880647e+24
