epoch	time	lr	loss	val_loss
1	312.85396849998506	0.005	3.3058281491390864e+25	6.440867041292157e+24
2	313.2606015999918	0.005	3.2943354410114282e+25	4.5245441087775977e+24
3	313.31782520003617	0.005	3.230982615411166e+25	4.6064161882448334e+24
4	313.20427899999777	0.005	3.316286929123423e+25	4.7646202624666135e+24
5	313.50200629996834	0.005	3.2782821378618616e+25	4.7300642434496945e+24
6	313.09457080002176	0.005	3.2508517912022222e+25	4.854468688613215e+24
7	313.43582309997873	0.005	3.177881197273845e+25	5.382442579641149e+24
8	313.2602265999885	0.005	3.1883181224267384e+25	5.544368820369098e+24
9	313.16978439997183	0.005	3.2524005051567056e+25	5.586385832460205e+24
10	313.17605820001336	0.005	3.1447014493317215e+25	6.476222113362731e+24
11	313.1578010999947	0.005	3.008015164382796e+25	6.535890196018315e+24
12	313.2582306000404	0.005	2.887082715390795e+25	6.411396660941398e+24
13	313.08219960000133	0.005	3.146608935390324e+25	6.404318632780456e+24
14	313.57164089998696	0.005	3.0592612589270673e+25	6.329609190837709e+24
15	313.2210880999919	0.005	3.043756415529505e+25	6.246784322502564e+24
16	313.43060560000595	0.005	3.0565842273203154e+25	6.237879027587631e+24
17	313.13912690000143	0.005	3.0016490978432762e+25	6.204368104226062e+24
18	313.03349820000585	0.005	3.119972622608372e+25	6.284561756105955e+24
19	313.16410659998655	0.005	3.1445973909004493e+25	6.25449622867573e+24
20	313.14203670003917	0.005	3.1135962407328634e+25	6.772452660289916e+24
21	313.38311789999716	0.005	2.9534602319752446e+25	6.735504716021863e+24
22	313.1053506999742	0.005	2.8977705009742776e+25	6.525649403056982e+24
23	313.4993029999896	0.005	3.1652039234225067e+25	6.424313771970412e+24
24	313.16925289999926	0.005	3.1305540640829905e+25	6.276521874529811e+24
25	313.41055510001024	0.005	2.9552647321260095e+25	5.372280258409204e+24
26	313.13034150004387	0.005	3.0936611853134023e+25	5.414988618842226e+24
27	313.0793201000197	0.005	3.015160604343729e+25	5.401074228404345e+24
28	313.13070350000635	0.005	3.068879422062426e+25	5.401514077957006e+24
29	313.0916033000103	0.005	2.901522148342404e+25	5.394628128518461e+24
30	313.07240060000913	0.005	3.01175605527995e+25	5.458175406319813e+24
